Title,DOI,"RQ1.1.P1
 Lifecycle Stage","RQ1.1.P2
 Energy Awareness Stage","RQ1.1.P3
 Integration Approach","RQ1.2.P1
 Component Type","RQ1.2.P2
 Energy consumption source","RQ1.2.P3
 Component Relationship","RQ2.1.P1
 Measurement Level","RQ2.1.P2
 Measurement Technique","RQ2.1.P3
 Data Collection","RQ2.1.P4
 Implementation Approach","RQ2.2.P1
 Tool Type","RQ2.2.P2
 Deployment Method","RQ2.2.P3
 Analysis Capability","RQ2.2.P4
 Granularity","RQ2.3.P1
 Metric Type","RQ2.3.P2
 Measurement Scope","RQ2.3.P3
 Normalization Basis","RQ2.3.P4
 Business Relevance","RQ3.1.P1
 Modernization Strategy","RQ3.1.P2
 Solution Category","RQ3.1.P3
 Implementation Technologies","RQ3.2.P1
 Quality Attribute","RQ3.2.P2
 Trade-off Relationship","RQ3.2.P3
 Trade-off Severity","RQ3.2.P4
 Trade-off Strategy","RQ3.3.P1
 Challenge Type","RQ3.3.P2
 Adoption Phase","RQ3.3.P3
 Challenge Complexity","RQ3.3.P4
 Mitigation Approach"
GAS: DVFS-Driven Energy Efficiency Approach for Latency-Guaranteed Edge Computing Microservices,10.1109/TGCN.2024.3420957,Deployment; Runtime,Runtime,Runtime monitoring,Microservice; CPU; DRAM; uncore,CPU; DRAM; uncore,N/A,Hardware; request,Intel RAPL-based measurement; profiling,Sampling,External tool (Intel RAPL via CPU Energy Meter); benchmark workloads (TACLe Benchmarks),Energy meter; benchmarking framework,Agent,Per-service energy,Per request,Energy consumption; execution time; energy loss per second,Single service,Per request; per second,SLA compliance (latency requirements),CPU frequency scaling,Scheduling; autoscaling,Docker,Performance,Balances,Moderate - energy savings come with a small increase in execution time (2-17%) while still meeting latency requirements,Adaptive policy,technical – chip-wide DVFS limits per-core control; measurement – RAPL reliability affects accuracy; technical – performance isolation is difficult due to resource contention,Operation; evaluation,Complex,Benchmarking; cache isolation
Green Computing Implementation for Indonesian Higher Education Adopting Serverless Microservices Architecture,10.1109/ICSCC62041.2024.10690844,N/A,N/A,Runtime monitoring,container; CPU; memory,CPU; memory; container instances,N/A,container,"tracking CPU, memory and container usage",operational logs; performance metrics,prototype testing via Cloud Run metrics,monitoring platform,N/A,trend analysis,per service,CPU usage; memory usage; container usage,single service,N/A,N/A,adopting serverless microservices architecture,dynamic scaling,GCP Cloud Run; GCP API Gateway,Latency; performance,degrades,moderate - occasional latency spikes during scaling events are reported,architectural optimization to reduce cold starts and manage resource allocation,N/A,N/A,N/A,N/A
GreenFog: A Framework for Sustainable Fog Computing,10.1007/978-3-031-20984-0_38,Runtime,Runtime,runtime QoS adjustment and autoscaling,"containers; pods; nodes; gateway 
","pod energy use; node energy use; task processing energy 
",N/A,hardware server power (ePDU); pod-level profiling; task-level energy estimation,direct power measurement (ePDU); profiling; model-based estimation (regression/IP model),monitoring via ePDU power metering; profiling,"external power metering (ePDU); profiling with controlled workloads 
",energy meter (ePDU),external hardware meter attached to servers,hardware power consumption analysis,per server; per pod; per task,power consumption; absolute energy difference between renewable supply and consumption,Infrastructure,N/A,SLA compliance via QoS (rate) adjustments,autoscaling and QoS adjustment,load shaping; autoscaling; scheduling,Kubernetes; Docker; K3s,performance/QoS,balances,"moderate — QoS reductions are applied to match renewable energy availability, affecting performance but kept within SLA limits",adaptive QoS adjustment and autoscaling,technical — renewable energy is intermittent making control difficult; measurement — accurate profiling and exact energy data are required for models,Operation,N/A,"adaptive optimization via IP, regression, and MAB models"
iBrownout: An Integrated Approach for Managing Energy and Brownout in Container-Based Clouds,10.1109/TSUSC.2018.2808493,Runtime,Runtime,Runtime monitoring and dynamic activation/deactivation of microservices,Containers; Microservices,CPU utilization,N/A,Hardware (Server/host level),Model-based estimation,Monitoring via system monitor collecting host resource and energy metrics,External tool (Grid’5000 power-measurement APIs),Energy meter (power-measurement APIs) ,External service (Grid’5000 power-measurement APIs),Host Energy Consumption,Per Node,"Energy consumption (kWh / power consumption)
",Infrastructure (hosts / data center),N/A,SLA compliance / response time,Brownout-based dynamic deactivation of optional containers/microservices,Scheduling,Docker; Docker Swam,Performance; QoS,Balances,N/A,Adaptive scheduling policies (brownout-based control),"technical; predicting future workload is difficult; timing of disabling microservices is hard; selecting which microservice to disable is complex; coordinating host power-state switching is challenging; designing effective brownout scheduling policies is non-trivial 
",Operation,N/A,Scheduling policies; brownout-based control
Improved QoS at the Edge Using Serverless Computing to Deploy Virtual Network Functions,10.1109/JIOT.2020.3011057,N/A,N/A,N/A,Containers; MEC nodes running VNFs,CPU on MEC nodes (powertop); FPGA on-chip power,Cold vs warm start containers - warm reduces energy; FPGA offload vs MEC CPU - FPGA lowers energy,Hardware level; OS/node level,Model-based estimation via Xilinx XPE for FPGA; Software profiling on MEC nodes using powertop and Turbostat,Powertop/Turbostat tool measurements on MEC nodes; Xilinx XPE model-based estimation from synthesis reports,External tools (powertop; Turbostat) on MEC nodes; model-based via Xilinx XPE; benchmark workload with JMeter-triggered HTTP invocations,Powertop; Turbostat; Xilinx XPE,External tool,Per node energy consumption; frequency-scaling trend (FPGA power vs clock); warm vs cold container energy comparison,Per VNF; per mEC node; per FPGA device,Energy consumption; power consumption (FPGA on-chip-power),"Single VNF (encrpytion function); node/device level (MEC node, FPGA device)",N/A,Improved QoS; reduced operational costs,VNF offloading to FPGA-enabled MEC nodes; serverless on-demand deployment via Kubernetes (warm containers); decomposing VNFs into microservices,Hardware offloading; scheduling/placement; autoscaling,Kubernetes; Docker; Flannel; OpenNebula; NetFPGA-10G; Xilinx; OpenFlow,Performance; resource utilization,Improves performance and energy via FPGA/serverless orchestration; balances cost and resource utilization,Moderate; 15.8% energy improvement,Dynamic scheduling; hardware acceleration (FPGA offload); serverless warm container reuse,technical; measurement,Implementation; operation,complex,"Benchmarking; tooling improvements (FPGA modeling, serverless orchestration)"
"Is it Worth Migrating a Monolith to Microservices? An Experience Report on Performance, Availability and Energy Usage",10.1109/ICWS62655.2024.00112,Runtime,N/A,Runtime monitoring,services; API gateway; load balancer,CPU; memory,N/A,Hardware,Physical power meter,Monitoring (physical power meter),External physical power meter,Energy meter,external device,N/A,Per node,Energy usage; power consumption,Entire application (server-level),N/A,N/A,Migration,Horizontal scaling; replication,Docker; Docker-Compose; HAProxy,Performance; availability,Reverses (lower energy vs higher performance),"Moderate - the monolith consumes less energy at low replica counts, but the MSA achieves higher performance and availaibilty, with the energy efficiency improving only at higher replica levels",Replication strategy; horizontal scaling,N/A,N/A,N/A,N/A
Joint optimization of service request routing and instance placement in the microservice system,10.1016/j.jnca.2019.102441,N/A,N/A,N/A,Server node; microservice instane; container,CPU utilization; static idle power; maximum power rate,Inter-process communication across multiple instances increases request processing time and affects energy usage,Server; Data-center,model-based estimation,N/A,N/A,Simulator,N/A,N/A,per node,Power rate,Infrastructure,optimal server time,server time; QoS,Resource allocation optimization,request routing and instance placement,Docker,Performance; QoS,balance,"severe - reducing service time requires allocating more resources, directly increasing energy consumption",multi-objective optimization,technical,design,N/A,N/A
Kraken: Adaptive Container Provisioning for Deploying Dynamic DAGs in Serverless Platforms,10.1145/3472883.3486992,Runtime,Runtime,Runtime monitoring,Container,computation; memory usage of containers,commonality and connectivity,Hardware,Direct power measurement (Intel Power Gadget),N/A,external tool (Intel Power Gadget),Energy meter,N/A,N/A,Per node,Energy consumption rate,Cluster-wide,Per unit time,SLO compliance,Workflow-aware resource management,Scheduling,OpenFaaS,Latency (performance),Balances,Minor - Kraken maintains SLO compliance while reducing containers,Adaptive scheduling,N/A,N/A,N/A,N/A
Model-Driven Dependability and Power Consumption Quantification of Kubernetes-Based Cloud-Fog Continuum,10.1109/ACCESS.2023.3340195,N/A,N/A,N/A,Control Plane; Storage; Worker Nodes; Pods/containers — their operation and redundancy directly increase overall energy consumption.,CPU; Memory; Disk; Network Interfaces; Power Supply; Kubernetes processes; Pod instantiation,"Redundancy and component interdependencies increase energy use; failures in underlying components trigger restarts and Pod reallocations, raising energy consumption",Hardware; container/Pod level,Model-based estimation,N/A,Code Instrumentation - measurement parameters added to the model so energy can be computed analytically,N/A,N/A,N/A,N/A,Electrical Power (P); Energy (E),Infrastructure,Time,N/A,Model-driven redundancy planning and sensitivity-analysis-based configuration optimization,Redundancy planning and configuration optimization,Kubernetes,Reliability; availability,Balances,N/A,Configuration optimization,Technical — difficulty in accurately evaluating dependability and energy impacts in complex cloud-fog microservice infrastructures.,Planning,"Complex
","Model-based analysis and configuration optimization
"
Online Power Consumption Estimation for Functions in Cloud Applications,10.1109/ICAC.2019.00018,N/A,Runtime,Runtime monitoring,Function; microservice; container,CPU; memory; disk I/O,N/A,Hardware; function level; application level,Direct power measurement; model-based estimation,Sampling; stack tracing; monitoring framework,External tool; benchmark workload; non-intrusive monitoring,monitoring platform; energy meter,external service,Per function energy,per function,power consumption; energy consumption,function level; application level,per request,N/A,N/A,workload placement; code optimization,Docker,Performance,Degrades,N/A,N/A,Technical - performance counters can be inaccurate or misleading; measurement - overhead from monitoring affects results; technical - limited access to performance counters in virtualized or serverless environments,operation,N/A,Selecting appropriate performance counters; removing idle-state events from samples; introducing correction mechanisms
